ImageName	Component	Script	Text
img0001.png	Text	Devanagari	"ज्योति"
img0002.png	Text	Devanagari	"मचाते"
img0003.png	Text	Devanagari	"धागे"
img0004.png	Text	Devanagari	"ऋतू"
img0005.png	Text	Devanagari	"राहत"
img0006.png	Text	Devanagari	"तकलीफ"
img0007.png	Text	Devanagari	"स्वागत"
img0008.png	Text	Devanagari	"वातावरण"
img0009.png	Text	Devanagari	"जन्तुओं"
img0010.png	Text	Devanagari	"आसमान"
img0011.png	Text	Devanagari	"रात"
img0012.png	Text	Devanagari	"दिन"
img0013.png	Text	Devanagari	"खाना"
img0014.png	Text	Devanagari	"निर्मला"
img0015.png	Text	Devanagari	"प्रेमचंद"
img0016.png	Text	Devanagari	"समय"
img0017.png	Text	Devanagari	"पर"
img0018.png	Text	Devanagari	"चालक"
img0019.png	Text	Devanagari	"प्रातःकाल"
img0020.png	Text	Devanagari	"विद्यालय"
img0021.png	Text	Devanagari	"समय"
img0022.png	Text	Devanagari	"स्नान"
img0023.png	Text	Devanagari	"खबरदार"
img0024.png	Text	Devanagari	"सुधार"
img0025.png	Text	Devanagari	"करता"
img0026.png	Text	Devanagari	"दादी"
img0027.png	Text	Devanagari	"समझ"
img0028.png	Text	Devanagari	"चाहिए।"
img0029.png	Text	Devanagari	"पिताजी"
img0030.png	Text	Devanagari	"आशु"
img0031.png	Text	Devanagari	"की"
img0032.png	Text	Devanagari	"सायकिल"
img0033.png	Text	Devanagari	"लोग"
img0034.png	Text	Devanagari	"सायकिल"
img0035.png	Text	Devanagari	"आशु"
img0036.png	Text	Devanagari	"नानाजी"
img0037.png	Text	Devanagari	"सायकिल"
img0038.png	Text	Devanagari	"मामा"
img0039.png	Text	Devanagari	"कहते"
img0040.png	Text	Devanagari	"सायकिल"
img0041.png	Text	Devanagari	"मिनट"
img0042.png	Text	Devanagari	"कोलकाता"
img0043.png	Text	Devanagari	"तुम"
img0044.png	Text	Devanagari	"आज"
img0045.png	Text	Devanagari	"नाश्ता"
img0046.png	Text	Devanagari	"पूछती"
img0047.png	Text	Devanagari	"बजकर"
img0048.png	Text	Devanagari	"तबतक"
img0049.png	Text	Devanagari	"तुम्हारे"
img0050.png	Text	Devanagari	"कभी"
img0051.png	Text	Devanagari	"झल्ला"
img0052.png	Text	Devanagari	"पिताजी"
img0053.png	Text	Devanagari	"तैयारी"
img0054.png	Text	Devanagari	"जन्मदिवस"
img0055.png	Text	Devanagari	"आना।"
img0056.png	Text	Devanagari	"बिल्ली"
img0057.png	Text	Devanagari	"बडी"
img0058.png	Text	Devanagari	"शैतान"
img0059.png	Text	Devanagari	"पास"
img0060.png	Text	Devanagari	"रहती"
img0061.png	Text	Devanagari	"रहती"
img0062.png	Text	Devanagari	"भरने"
img0063.png	Text	Devanagari	"जाने"
img0064.png	Text	Devanagari	"दबोचे"
img0065.png	Text	Devanagari	"का"
img0066.png	Text	Devanagari	"अनार"
img0067.png	Text	Devanagari	"जाओ"
img0068.png	Text	Devanagari	"लोग"
img0069.png	Text	Devanagari	"नेताजी"
img0070.png	Text	Devanagari	"दरवाजे"
img0071.png	Text	Devanagari	"किल्ली"
img0072.png	Text	Devanagari	"आजादी"
img0073.png	Text	Devanagari	"जशन"
img0074.png	Text	Devanagari	"भाजपा"
img0075.png	Text	Devanagari	"और"
img0076.png	Text	Devanagari	"वज़न"
img0077.png	Text	Devanagari	"मगरमच्छ"
img0078.png	Text	Devanagari	"स्खा"
img0079.png	Text	Devanagari	"मित्रता"
img0080.png	Text	Devanagari	"अतुराई"
img0081.png	Text	Devanagari	"ताकत"
img0082.png	Text	Devanagari	"आनन्द"
img0083.png	Text	Devanagari	"मूर्ख"
img0084.png	Text	Devanagari	"निर्दय"
img0085.png	Text	Devanagari	"तुरन्त"
img0086.png	Text	Devanagari	"साहस"
img0087.png	Text	Devanagari	"नए"
img0088.png	Text	Devanagari	"बढ़ाए"
img0089.png	Text	Devanagari	"काली"
img0090.png	Text	Devanagari	"देश"
img0091.png	Text	Devanagari	"ले"
img0092.png	Text	Devanagari	"आत्मविश्वास"
img0093.png	Text	Devanagari	"जगाए"
img0094.png	Text	Devanagari	"दहशत"
img0095.png	Text	Devanagari	"थावे"
img0096.png	Text	Devanagari	"वादा"
img0097.png	Text	Devanagari	"आम"
img0098.png	Text	Devanagari	"बुनियादी"
img0099.png	Text	Devanagari	"घटाएँ"
img0100.png	Text	Devanagari	"स्कूल"
img0101.png	Text	Devanagari	"आगजनी"
img0102.png	Text	Devanagari	"बिहार"
img0103.png	Text	Devanagari	"मुखीया"
img0104.png	Text	Devanagari	"विदेश"
img0105.png	Text	Devanagari	"जाते"
img0106.png	Text	Devanagari	"दिनदहाड़े"
img0107.png	Text	Devanagari	"गोलियों"
img0108.png	Text	Devanagari	"बौछार"
img0109.png	Text	Devanagari	"महाभ्रमण"
img0110.png	Text	Devanagari	"साल"
img0111.png	Text	Devanagari	"इमली"
img0112.png	Text	Devanagari	"दहशत"
img0113.png	Text	Devanagari	"लंडन"
img0114.png	Text	Devanagari	"इवीएम"
img0115.png	Text	Devanagari	"हैकिंग"
img0116.png	Text	Devanagari	"कार्यक्रम"
img0117.png	Text	Devanagari	"कांग्रेस"
img0118.png	Text	Devanagari	"प्रायोजित"
img0119.png	Text	Devanagari	"कछुए"
img0120.png	Text	Devanagari	"प्रसाद"
img0121.png	Text	Devanagari	"जाती"
img0122.png	Text	Devanagari	"देश"
img0123.png	Text	Devanagari	"रीपेयरिंग"
img0124.png	Text	Devanagari	"ईख"
img0125.png	Text	Devanagari	"बिदेश"
img0126.png	Text	Devanagari	"नीयत"
img0127.png	Text	Devanagari	"नीति"
img0128.png	Text	Devanagari	"सरकारों"
img0129.png	Text	Devanagari	"पिछली"
img0130.png	Text	Devanagari	"बोले"
img0131.png	Text	Devanagari	"पीएम"
img0132.png	Text	Devanagari	"और"
img0133.png	Text	Devanagari	"बताने"
img0134.png	Text	Devanagari	"स्मार्ट"
img0135.png	Text	Devanagari	"जब्त"
img0136.png	Text	Devanagari	"करके"
img0137.png	Text	Devanagari	"उल्लू"
img0138.png	Text	Devanagari	"किया"
img0139.png	Text	Devanagari	"सालों"
img0140.png	Text	Devanagari	"पांच"
img0141.png	Text	Devanagari	"अपने"
img0142.png	Text	Devanagari	"पूछा"
img0143.png	Text	Devanagari	"टपकने"
img0144.png	Text	Devanagari	"कांग्रेस"
img0145.png	Text	Devanagari	"छूट"
img0146.png	Text	Devanagari	"सबसे"
img0147.png	Text	Devanagari	"सस्ती"
img0148.png	Text	Devanagari	"टिप्पणियां"
img0149.png	Text	Devanagari	"जय"
img0150.png	Text	Devanagari	"ऊन"
img0151.png	Text	Devanagari	"दिन"
img0152.png	Text	Devanagari	"पाक"
img0153.png	Text	Devanagari	"चालक"
img0154.png	Text	Devanagari	"श्रीमद्रुगवद्रीता"
img0155.png	Text	Devanagari	"लगती"
img0156.png	Text	Devanagari	"खरीदारी"
img0157.png	Text	Devanagari	"अब"
img0158.png	Text	Devanagari	"सस्ता"
img0159.png	Text	Devanagari	"प्रभात"
img0160.png	Text	Devanagari	"खबर"
img0161.png	Text	Devanagari	"टला"
img0162.png	Text	Devanagari	"ऑल"
img0163.png	Text	Devanagari	"आय"
img0164.png	Text	Devanagari	"ऋषि"
img0165.png	Text	Devanagari	"इंडिया"
img0166.png	Text	Devanagari	"देखते"
img0167.png	Text	Devanagari	"आटोपी"
img0168.png	Text	Devanagari	"हाँकी"
img0169.png	Text	Devanagari	"निवेश"
img0170.png	Text	Devanagari	"कोच"
img0171.png	Text	Devanagari	"सुना"
img0172.png	Text	Devanagari	"जांच"
img0173.png	Text	Devanagari	"समिति"
img0174.png	Text	Devanagari	"में"
img0175.png	Text	Devanagari	"पानी"
img0176.png	Text	Devanagari	"एड़ी"
img0177.png	Text	Devanagari	"पवार"
img0178.png	Text	Devanagari	"और"
